Fish_TAG,Faunistic_grp,Class,ScientificName_accepted,N_tot_in_tractus
4-10-17/FN5-Sole-G0/1,Mollusca,Bivalvia,Bivalvia,1
4-10-17/FN5-Sole-G0/1,Annelida,Polychaeta sedentaria,Polydora ciliata,1
10-17/CC3-FN5-Sole-G0/10,Annelida,Polychaeta errantia,Nephtys sp,1
10-17/CC3-FN5-Sole-G0/10,Annelida,Polychaeta errantia,Glycera sp,1
10-17/CC3-FN5-Sole-G0/10,Arthropoda,Malacostraca,Corophium volutator,3
10-17/CC3-FN5-Sole-G0/10,Annelida,Polychaeta sedentaria,Polydora ciliata,5
10-17/CC3-FN5-Sole-G0/10,Arthropoda,Hexanauplia,Sessilia,1
10-17/CC3-FN5-Sole-G0/10,Arthropoda,Malacostraca,Crangon crangon,1
06-17/C6-Sole-G0/2,Annelida,Polychaeta errantia,Nereididae,1
06-17/C6-Sole-G0/2,Arthropoda,Hexanauplia,Sessilia,1
06-17/C6-Sole-G0/2,Arthropoda,Arachnida,Halacaridae,1
06-17/C6-Sole-G0/2,Arthropoda,Ostracoda,Ostracoda,1
06-17/C7-Sole-G0/8,Annelida,Polychaeta sedentaria,Polydora ciliata,1
06-17/C7-Sole-G0/17,Annelida,Polychaeta sedentaria,Polydora ciliata,1
06-17/C7-Sole-G0/6,Arthropoda,Malacostraca,Crangon crangon,1
06-17/C7-Sole-G0/6,Annelida,Polychaeta sedentaria,Polydora ciliata,1
06-17/C7-Sole-G0/6,Arthropoda,Ostracoda,Ostracoda,1
06-17/C7-Sole-G0/15,Annelida,Polychaeta sedentaria,Polydora ciliata,6
06-17/C7-Sole-G0/15,Annelida,Polychaeta errantia,Nephtys sp,1
06-17/C7-Sole-G0/15,Arthropoda,Hexanauplia,Sessilia,1
06-17/C7-Sole-G0/5,Annelida,Polychaeta sedentaria,Polydora ciliata,6
06-17/C7-Sole-G0/5,Annelida,Polychaeta sedentaria,Streblospio benedicti,1
06-17/C7-Sole-G0/14,Annelida,Polychaeta sedentaria,Polydora ciliata,6
06-17/C7-Sole-G0/12,Annelida,Polychaeta sedentaria,Spionidae,1
06-17/C7-Sole-G0/12,Annelida,Polychaeta sedentaria,Polydora ciliata,10
06-17/C7-Sole-G0/12,Arthropoda,Hexanauplia,Sessilia,1
06-17/C7-Sole-G0/4,Annelida,Polychaeta sedentaria,Polydora ciliata,1
06-17/C7-Sole-G0/3,Arthropoda,Ostracoda,Ostracoda,1
06-17/C7-Sole-G0/3,Arthropoda,Hexanauplia,Sessilia,2
06-17/C7-Sole-G0/3,Annelida,Polychaeta sedentaria,Polydora ciliata,4
06-17/C7-Sole-G0/3,Mollusca,Bivalvia,Nucula sp,1
06-17/C7-Sole-G0/3,Arthropoda,Hexanauplia,Sessilia_larva,1
06-17/C7-Sole-G0/1,Annelida,Polychaeta sedentaria,Polydora ciliata,3
06-17/C7-Sole-G0/11,Annelida,Polychaeta sedentaria,Polydora ciliata,24
06-17/C7-Sole-G0/11,Arthropoda,Hexanauplia,Sessilia,1
06-17/C7-Sole-G0/10,Annelida,Polychaeta sedentaria,Polydora ciliata,4
06-17/C7-Sole-G0/10,Arthropoda,Hexanauplia,Sessilia,1
06-17/C7-Sole-G0/2,Annelida,Polychaeta sedentaria,Polydora ciliata,4
06-17/C7-Sole-G0/2,Annelida,Polychaeta errantia,Nereididae,1
06-17/C7-Sole-G0/9,Annelida,Polychaeta sedentaria,Polydora ciliata,5
10-17/FS3bis-Sole-G0/7,Mollusca,Bivalvia,Cerastoderma edule,18
10-17/FS3bis-Sole-G0/7,Mollusca,Bivalvia,Bivalvia,10
