Fish_TAG,Faunistic_grp,Class,ScientificName_accepted,N_tot_in_tractus
06-17/C7-Sole-G0/7,Arthropoda,Ostracoda,Ostracoda,1
06-17/C7-Sole-G0/7,Mollusca,Bivalvia,Cardiidae,1
06-17/C7-Sole-G0/7,Annelida,Polychaeta sedentaria,Polydora ciliata,4
06-17/C7-Sole-G0/7,Arthropoda,Malacostraca,Amphipoda,1
06-17/CF5-C6-Sole-G0/1,Annelida,Annelida sp.,Annelida sp.,1
06-17/CF5-C6-Sole-G0/2,Mollusca,Bivalvia,Bivalvia,1
06-17/CF5-C6-Sole-G0/2,Annelida,Polychaeta sedentaria,Polydora ciliata,3
06-17/CF5-C6-Sole-G0/3,Annelida,Polychaeta sedentaria,Polydora ciliata,1
06-17/CF5-C6-Sole-G0/4,Annelida,Annelida sp.,Annelida sp.,1
06-17/CF5-C6-Sole-G0/5,Annelida,Annelida sp.,Annelida sp.,1
06-17/AN2-Sole-G0/10,Mollusca,Bivalvia,Bivalvia,3
06-17/AN2-Sole-G0/10,Mollusca,Bivalvia,Bivalvia,2
06-17/AN2-Sole-G0/10,Mollusca,Bivalvia,Veneridae,6
06-17/AN2-Sole-G0/10,Arthropoda,Hexanauplia,Harpacticoida,2
06-17/AN2-Sole-G0/11,Mollusca,Bivalvia,Cardiidae,1
06-17/AN2-Sole-G0/11,Arthropoda,Ostracoda,Ostracoda,2
06-17/AN2-Sole-G0/11,Mollusca,Bivalvia,Bivalvia,1
06-17/AN2-Sole-G0/12,Mollusca,Bivalvia,Cardiidae,1
06-17/AN2-Sole-G0/12,Mollusca,Bivalvia,Pharidae,1
06-17/AN2-Sole-G0/13,Mollusca,Bivalvia,Bivalvia,2
06-17/AN2-Sole-G0/13,Mollusca,Bivalvia,Cardiidae,1
06-17/AN2-Sole-G0/13,Arthropoda,Malacostraca,Diastylis sp,1
06-17/AN2-Sole-G0/13,Mollusca,Bivalvia,Pharidae,2
06-17/AN2-Sole-G0/13,Mollusca,Bivalvia,Mactridae,1
06-17/AN2-Sole-G0/13,Mollusca,Bivalvia,Bivalvia,1
06-17/AN2-Sole-G0/14,Mollusca,Bivalvia,Bivalvia,1
06-17/AN2-Sole-G0/14,Mollusca,Bivalvia,Bivalvia,2
06-17/AN2-Sole-G0/14,Arthropoda,Malacostraca,Nototropis falcatus,1
06-17/AN2-Sole-G0/14,Mollusca,Bivalvia,Kurtiella bidentata,1
06-17/AN2-Sole-G0/14,Arthropoda,Ostracoda,Ostracoda,1
06-17/AN2-Sole-G0/14,Mollusca,Bivalvia,Veneridae,1
06-17/AN2-Sole-G0/48,Mollusca,Bivalvia,Kurtiella bidentata,5
06-17/AN2-Sole-G0/48,Mollusca,Bivalvia,Bivalvia,10
06-17/AN2-Sole-G0/48,Arthropoda,Malacostraca,Arthropoda,1
06-17/AN2-Sole-G0/48,Annelida,Polychaeta sedentaria,Spionidae,2
06-17/AN2-Sole-G0/49,Arthropoda,Hexanauplia,Harpacticoida,1
06-17/AN2-Sole-G0/49,Mollusca,Bivalvia,Bivalvia,2
06-17/AN2-Sole-G0/50,Mollusca,Bivalvia,Bivalvia,8
06-17/AN2-Sole-G0/50,Arthropoda,Hexanauplia,Harpacticoida,2
06-17/AN2-Sole-G0/50,Arthropoda,Malacostraca,Diastylis sp,4
06-17/AN2-Sole-G0/50,Arthropoda,Ostracoda,Ostracoda,1
06-17/AN2-Sole-G0/51,Arthropoda,Hexanauplia,Harpacticoida,5
06-17/AN2-Sole-G0/51,Annelida,Polychaeta sedentaria,Spionidae,1
06-17/AN2-Sole-G0/52,Mollusca,Bivalvia,Bivalvia,10
06-17/AN2-Sole-G0/52,Mollusca,Bivalvia,Cerastoderma edule,2
06-17/AN2-Sole-G0/52,Mollusca,Bivalvia,Kurtiella bidentata,3
06-17/AN2-Sole-G0/54,Mollusca,Bivalvia,Bivalvia,14
06-17/AN2-Sole-G0/54,Mollusca,Bivalvia,Abra alba,8
06-17/AN2-Sole-G0/54,Arthropoda,Maxillopoda,Balanidae,1
06-17/AN2-Sole-G0/54,Annelida,Polychaeta sedentaria,Spionidae,1
06-17/AN2-Sole-G0/55,Mollusca,Bivalvia,Bivalvia,1
06-17/AN2-Sole-G0/55,Annelida,Polychaeta sedentaria,Polydora ciliata,2
06-17/AN2-Sole-G0/57,Mollusca,Bivalvia,Bivalvia,1
06-17/AN2-Sole-G0/57,Mollusca,Bivalvia,Abra alba,9
06-17/AN2-Sole-G0/57,Mollusca,Bivalvia,Cerastoderma edule,1
06-17/AN2-Sole-G0/58,Mollusca,Bivalvia,Cerastoderma edule,1
06-17/AN2-Sole-G0/58,Mollusca,Bivalvia,Abra alba,1
06-17/AN2-Sole-G0/58,Arthropoda,Hexanauplia,Harpacticoida,1
06-17/AN2-Sole-G0/59,Arthropoda,Malacostraca,Arthropoda,1
06-17/AN2-Sole-G0/59,Annelida,Annelida sp.,Annelida sp.,1
06-17/AN2-Sole-G0/59,Arthropoda,Ostracoda,Ostracoda,1
06-17/AN2-Sole-G0/59,Annelida,Polychaeta sedentaria,Spionidae,1
06-17/AN2-Sole-G0/62,Annelida,Polychaeta sedentaria,Spionidae,2
06-17/AN2-Sole-G0/62,Arthropoda,Malacostraca,Diastylis sp,1
06-17/AN2-Sole-G0/62,Arthropoda,Hexanauplia,Harpacticoida,1
06-17/AN2-Sole-G0/62,Arthropoda,Ostracoda,Ostracoda,1
06-17/AN2-Sole-G0/62,Mollusca,Bivalvia,Phaxas pellucidus,1
06-17/AN2-Sole-G0/62,Annelida,Polychaeta errantia,Nephtys sp,1
06-17/AN2-Sole-G0/8,Mollusca,Bivalvia,Bivalvia,1
06-17/AN2-Sole-G0/8,Arthropoda,Hexanauplia,Harpacticoida,2
06-17/AN2-Sole-G0/8,Annelida,Polychaeta sedentaria,Spionidae,1
06-17/AN2-Sole-G0/9,Annelida,Polychaeta sedentaria,Sabellidae,1
06-17/AN2-Sole-G0/9,Arthropoda,Hexanauplia,Harpacticoida,2
06-17/AN2-Sole-G0/9,Mollusca,Bivalvia,Veneridae,5
06-17/AN2-Sole-G0/9,Mollusca,Bivalvia,Pharidae,2
06-17/AS2-Sole-G0/3,Mollusca,Bivalvia,Bivalvia,2
06-17/AS2-Sole-G0/3,Mollusca,Bivalvia,Bivalvia,1
06-17/AS2-Sole-G0/3,Arthropoda,Arachnida,Acari,1
06-17/AS2-Sole-G0/3,Arthropoda,Malacostraca,Pontocrates altamarinus,3
06-17/AS2-Sole-G0/3,Annelida,Polychaeta sedentaria,Spionidae,1
06-17/AS2-Sole-G0/3,Arthropoda,Maxillopoda,Balanidae,1
06-17/AS2-Sole-G0/3,Arthropoda,Ostracoda,Ostracoda,2
06-17/AS2-Sole-G0/3,Mollusca,Bivalvia,Bivalvia,1
06-17/AS2-Sole-G0/3,Mollusca,Bivalvia,Mactridae,3
06-17/AS2-Sole-G0/3,Annelida,Polychaeta errantia,Nephtys sp,1
06-17/AS2-Sole-G0/3,Arthropoda,Hexanauplia,Harpacticoida,1
06-17/AS2-Sole-G0/4,Arthropoda,Malacostraca,Cumacea,1
06-17/AS2-Sole-G0/4,Annelida,Polychaeta sedentaria,Spionidae,1
06-17/AS2-Sole-G0/4,Mollusca,Bivalvia,Bivalvia,1
06-17/AS2-Sole-G0/5,Arthropoda,Malacostraca,Pseudocumatidae,1
06-17/AS2-Sole-G0/5,Arthropoda,Ostracoda,Ostracoda,1
06-17/AS2-Sole-G0/5,Annelida,Polychaeta sedentaria,Spionidae,1
06-17/AS2-Sole-G0/6,Mollusca,Bivalvia,Cardiidae,1
06-17/AS2-Sole-G0/6,Mollusca,Bivalvia,Bivalvia,4
06-17/AS2-Sole-G0/6,Arthropoda,Hexanauplia,Harpacticoida,1
06-17/AS2-Sole-G0/6,Annelida,Polychaeta sedentaria,Spionidae,1
06-17/EM2-Sole-G0/1,Arthropoda,Hexanauplia,Harpacticoida,1
06-17/EM2-Sole-G0/1,Mollusca,Bivalvia,Bivalvia,3
06-17/EM2-Sole-G0/1,Arthropoda,Malacostraca,Amphipoda,1
06-17/EM2-Sole-G0/1,Annelida,Polychaeta sedentaria,Spionidae,2
06-17/EM6-Sole-G0/3,Arthropoda,Hexanauplia,Harpacticoida,5
06-17/EM6-Sole-G0/3,Annelida,Polychaeta errantia,Nephtys sp,3
06-17/CC5-FN1-Sole-G0/1,Annelida,Polychaeta errantia,Hediste diversicolor,2
06-17/CC5-FN1-Sole-G0/1,Mollusca,Bivalvia,Bivalvia,1
06-17/CC5-FN1-Sole-G0/1,Arthropoda,Malacostraca,Corophium volutator,1
06-17/CC5-FN1-Sole-G0/2,Annelida,Polychaeta errantia,Hediste diversicolor,2
06-17/CC5-FN1-Sole-G0/2,Arthropoda,Malacostraca,Corophium volutator,1
06-17/CC5-FN1-Sole-G0/3,Annelida,Polychaeta errantia,Hediste diversicolor,2
06-17/CC5-FN1-Sole-G0/3,Arthropoda,Malacostraca,Gnathiidae,1
06-17/CC5-FN1-Sole-G0/3,Arthropoda,Malacostraca,Corophium volutator,1
06-17/CC5-FN1-Sole-G0/4,Annelida,Polychaeta errantia,Hediste diversicolor,1
06-17/CC5-FN1-Sole-G0/4,Arthropoda,Malacostraca,Crangon crangon,1
06-17/CC5-FN1-Sole-G0/5,Annelida,Polychaeta errantia,Hediste diversicolor,3
06-17/CC5-FN1-Sole-G0/5,Arthropoda,Malacostraca,Corophium volutator,1
06-17/CC7-FN5-Sole-G0/1,Annelida,Polychaeta sedentaria,Spionidae,2
06-17/CC7-FN5-Sole-G0/1,Mollusca,Bivalvia,Bivalvia_larve,1
06-17/CC7-FN5-Sole-G0/1,Annelida,Polychaeta errantia,Nephtys sp,3
06-17/CC7-FN5-Sole-G0/1,Arthropoda,Hexanauplia,Harpacticoida,1
06-17/CC7-FN5-Sole-G0/2,Arthropoda,Malacostraca,Arthropoda,1
06-17/CC7-FN5-Sole-G0/2,Annelida,Polychaeta sedentaria,Spionidae,1
06-17/CC7-FN5-Sole-G0/2,Arthropoda,Hexanauplia,Harpacticoida,2
06-17/CC7-FN5-Sole-G0/2,Mollusca,Bivalvia,Cerastoderma edule,5
06-17/CC7-FN5-Sole-G0/2,Arthropoda,Ostracoda,Ostracoda,1
06-17/CC8-FN8-Sole-G0/3,Annelida,Polychaeta sedentaria,Spionidae,1
06-17/CC8-FN8-Sole-G0/3,Arthropoda,Hexanauplia,Harpacticoida,24
06-17/CC8-FN8-Sole-G0/3,Mollusca,Bivalvia,Kurtiella bidentata,2
06-17/CC8-FN8-Sole-G0/3,Arthropoda,Malacostraca,Gammarus sp,2
06-17/CC8-FN8-Sole-G0/3,Arthropoda,Malacostraca,Corophium volutator,1
06-17/CC8-FN8-Sole-G0/3,Annelida,Polychaeta errantia,Nephtys sp,1
06-17/CC8-FN8-Sole-G0/3,Annelida,Polychaeta errantia,Polynoidae,1
06-17/CC8-FN8-Sole-G0/6,Annelida,Polychaeta sedentaria,Polydora ciliata,2
06-17/FN3-Sole-G0/1,Arthropoda,Malacostraca,Crangon crangon,1
06-17/FN3-Sole-G0/1,Arthropoda,Hexanauplia,Harpacticoida,1
06-17/FN3-Sole-G0/1,Mollusca,Bivalvia,Cardiidae,1
06-17/FN3-Sole-G0/1,Annelida,Polychaeta sedentaria,Spionidae,1
06-17/FN3-Sole-G0/2,Annelida,Polychaeta sedentaria,Spionidae,1
06-17/FN3-Sole-G0/3,Mollusca,Bivalvia,Bivalvia_larve,4
06-17/FN3-Sole-G0/3,Annelida,Polychaeta sedentaria,Spionidae,1
06-17/FN3-Sole-G0/3,Annelida,Polychaeta errantia,Nephtys sp,1
06-17/FN4-Sole-G0/1,Arthropoda,Malacostraca,Corophium volutator,1
06-17/FN4-Sole-G0/1,Annelida,Polychaeta sedentaria,Polydora ciliata,1
06-17/FN4-Sole-G0/3,Annelida,Polychaeta sedentaria,Polydora ciliata,1
06-17/FN4-Sole-G0/5,Annelida,Polychaeta sedentaria,Polydora ciliata,1
06-17/FN4-Sole-G0/5,Mollusca,Bivalvia,Bivalvia,1
06-17/FN4-Sole-G0/6,Mollusca,Bivalvia,Cardiidae,1
06-17/FN4-Sole-G0/6,Mollusca,Bivalvia,Bivalvia,3
06-17/FN4-Sole-G0/6,Annelida,Polychaeta sedentaria,Polydora ciliata,1
06-17/FN5-Sole-G0/1,Annelida,Polychaeta sedentaria,Polydora ciliata,1
06-17/FN5-Sole-G0/2,Annelida,Polychaeta sedentaria,Polydora ciliata,1
06-17/FN5-Sole-G0/3,Mollusca,Bivalvia,Bivalvia,1
06-17/FN5-Sole-G0/3,Annelida,Polychaeta sedentaria,Polydora ciliata,1
06-17/FN9-Sole-G0/1,Arthropoda,Malacostraca,Corophium volutator,14
06-17/FN9-Sole-G0/1,Annelida,Polychaeta sedentaria,Spionidae,1
06-17/FN9-Sole-G0/2,Arthropoda,Malacostraca,Corophium volutator,11
06-17/FN9-Sole-G0/2,Mollusca,Bivalvia,Cerastoderma edule,1
06-17/FN9-Sole-G0/2,Mollusca,Bivalvia,Bivalvia,1
06-17/FN9-Sole-G0/2,Annelida,Polychaeta sedentaria,Polydora ciliata,2
06-17/FN9-Sole-G0/3,Arthropoda,Malacostraca,Corophium volutator,8
06-17/FN9-Sole-G0/3,Arthropoda,Ostracoda,Ostracoda,1
06-17/FN9-Sole-G0/3,Annelida,Polychaeta sedentaria,Spionidae,1
06-17/CC2-FS4-Sole-G0/1,Mollusca,Bivalvia,Bivalvia,55
06-17/CC2-FS4-Sole-G0/1,Annelida,Polychaeta errantia,Nephtys sp,1
06-17/CC2-FS4-Sole-G0/1,Annelida,Polychaeta errantia,Aphroditidae,1
06-17/CC2-FS4-Sole-G0/1,Mollusca,Bivalvia,Limecola balthica,1
06-17/CC2-FS4-Sole-G0/2,Annelida,Polychaeta sedentaria,Pygospio elegans,3
06-17/CC2-FS4-Sole-G0/2,Annelida,Polychaeta errantia,Nephtys sp,2
06-17/CC2-FS4-Sole-G0/2,Mollusca,Bivalvia,Bivalvia,3
06-17/CC2-FS4-Sole-G0/3,Annelida,Polychaeta sedentaria,Spionidae,1
06-17/CC2-FS4-Sole-G0/4,Mollusca,Bivalvia,Limecola balthica,1
06-17/CC2-FS4-Sole-G0/4,Mollusca,Bivalvia,Bivalvia,1
06-17/CC2-FS4-Sole-G0/4,Annelida,Polychaeta sedentaria,Pygospio elegans,2
06-17/CC2-FS4-Sole-G0/5,Annelida,Polychaeta sedentaria,Spionidae,1
06-17/CC2-FS4-Sole-G0/6,Mollusca,Bivalvia,Bivalvia,1
06-17/CC2-FS4-Sole-G0/6,Arthropoda,Malacostraca,Arthropoda,1
06-17/CC2-FS4-Sole-G0/6,Annelida,Polychaeta sedentaria,Spionidae,1
06-17/FS2-Sole-G0/2,Annelida,Polychaeta sedentaria,Spionidae,3
06-17/FS2-Sole-G0/2,Arthropoda,Malacostraca,Decapoda,1
06-17/FS2-Sole-G0/2,Annelida,Polychaeta sedentaria,Polydora ciliata,6
06-17/FS2-Sole-G0/3,Annelida,Polychaeta errantia,Nephtys sp,1
06-17/FS2-Sole-G0/3,Mollusca,Bivalvia,Bivalvia,1
06-17/FS2-Sole-G0/4,Annelida,Polychaeta sedentaria,Polydora ciliata,4
06-17/FS2-Sole-G0/5,Mollusca,Bivalvia,Phaxas pellucidus,3
06-17/FS2-Sole-G0/5,Annelida,Polychaeta sedentaria,Polydora ciliata,2
06-17/FS2-Sole-G0/5,Mollusca,Bivalvia,Bivalvia,2
06-17/FS3-Sole-G0/10,Mollusca,Bivalvia,Bivalvia,2
06-17/FS3-Sole-G0/10,Annelida,Polychaeta sedentaria,Polydora ciliata,2
06-17/FS3-Sole-G0/10,Arthropoda,Malacostraca,Melita hergensis,1
06-17/FS3-Sole-G0/11,Mollusca,Bivalvia,Bivalvia,2
06-17/FS3-Sole-G0/11,Annelida,Polychaeta sedentaria,Polydora ciliata,1
06-17/FS3-Sole-G0/11,Mollusca,Bivalvia,Bivalvia,1
06-17/FS3-Sole-G0/12,Annelida,Polychaeta sedentaria,Polydora ciliata,1
06-17/FS3-Sole-G0/12,Arthropoda,Hexanauplia,Harpacticoida,4
06-17/FS3-Sole-G0/13,Mollusca,Bivalvia,Bivalvia,2
06-17/FS3-Sole-G0/13,Annelida,Polychaeta sedentaria,Polydora ciliata,1
06-17/FS3-Sole-G0/4,Annelida,Polychaeta sedentaria,Polydora ciliata,1
06-17/FS3-Sole-G0/4,Arthropoda,Hexanauplia,Harpacticoida,1
06-17/FS3-Sole-G0/5,Annelida,Polychaeta sedentaria,Polydora ciliata,1
06-17/FS3-Sole-G0/5,Mollusca,Bivalvia,Bivalvia,1
06-17/FS3-Sole-G0/6,Annelida,Polychaeta sedentaria,Polydora ciliata,1
06-17/FS3-Sole-G0/7,Annelida,Polychaeta sedentaria,Polydora ciliata,1
06-17/FS3-Sole-G0/9,Annelida,Polychaeta sedentaria,Polydora ciliata,1
06-17/FS5-Sole-G0/6,Annelida,Polychaeta errantia,Nephtys sp,3
06-17/FS5-Sole-G0/6,Annelida,Polychaeta sedentaria,Polydora ciliata,1
09-17/C1-Sole-G0/1,Arthropoda,Malacostraca,Corophium volutator,19
09-17/C1-Sole-G0/1,Annelida,Polychaeta sedentaria,Polydora ciliata,11
09-17/C1-Sole-G0/2,Arthropoda,Malacostraca,Corophium volutator,28
09-17/C1-Sole-G0/2,Annelida,Polychaeta sedentaria,Polydora ciliata,14
09-17/C1-Sole-G0/3,Annelida,Polychaeta sedentaria,Polydora ciliata,3
09-17/C1-Sole-G0/3,Arthropoda,Malacostraca,Corophium volutator,6
09-17/C1-Sole-G0/4,Annelida,Polychaeta sedentaria,Polydora ciliata,13
09-17/C1-Sole-G0/4,Arthropoda,Malacostraca,Corophium volutator,1
09-17/C1-Sole-G0/4,Annelida,Polychaeta sedentaria,Boccardiella ligerica,1
09-17/C1-Sole-G0/5,Annelida,Polychaeta sedentaria,Polydora ciliata,19
09-17/C1-Sole-G0/5,Arthropoda,Malacostraca,Corophium volutator,4
09-17/C1-Sole-G0/5,Annelida,Polychaeta errantia,Nereididae,1
09-17/C1-Sole-G0/6,Annelida,Polychaeta sedentaria,Polydora ciliata,21
09-17/C1-Sole-G0/6,Arthropoda,Malacostraca,Ericthonius punctatus,1
09-17/C1-Sole-G0/6,Annelida,Polychaeta sedentaria,Boccardiella ligerica,1
09-17/C1-Sole-G0/6,Arthropoda,Malacostraca,Corophium volutator,1
10-17/C1-Sole-G0/1,Arthropoda,Malacostraca,Corophium volutator,9
10-17/C1-Sole-G0/1,Annelida,Polychaeta sedentaria,Polydora ciliata,16
10-17/C1-Sole-G0/2,Arthropoda,Malacostraca,Corophium volutator,79
10-17/C1-Sole-G0/2,Annelida,Polychaeta sedentaria,Polydora ciliata,3
10-17/C1-Sole-G0/2,Mollusca,Bivalvia,Bivalvia_larve,1
10-17/C1-Sole-G0/3,Arthropoda,Malacostraca,Corophium volutator,24
10-17/C1-Sole-G0/3,Annelida,Polychaeta sedentaria,Polydora ciliata,21
10-17/C1-Sole-G0/3,Arthropoda,Malacostraca,Crangon crangon,2
10-17/C1-Sole-G0/3,Annelida,Polychaeta sedentaria,Boccardiella ligerica,1
10-17/C2-Sole-G0/1,Arthropoda,Malacostraca,Corophium volutator,52
10-17/C2-Sole-G0/1,Annelida,Polychaeta sedentaria,Polydora ciliata,2
10-17/C2-Sole-G0/1,Annelida,Polychaeta sedentaria,Boccardiella ligerica,1
4-10-17/C7-Sole-G0/1,Arthropoda,Malacostraca,Corophium volutator,3
4-10-17/C7-Sole-G0/1,Annelida,Polychaeta sedentaria,Polydora ciliata,49
4-10-17/C7-Sole-G0/1,Annelida,Polychaeta sedentaria,Pseudopolydora pulchra,1
4-10-17/C7-Sole-G0/2,Annelida,Polychaeta sedentaria,Polydora ciliata,42
4-10-17/C7-Sole-G0/2,Mollusca,Bivalvia,Kurtiella bidentata,1
4-10-17/C7-Sole-G0/2,Annelida,Polychaeta errantia,Alitta succinea,1
4-10-17/C7-Sole-G0/2,Arthropoda,Malacostraca,Corophium volutator,2
4-10-17/C7-Sole-G0/2,Annelida,Polychaeta sedentaria,Boccardiella ligerica,1
4-10-17/C7-Sole-G0/2,Mollusca,Bivalvia,Abra alba,2
4-10-17/C7-Sole-G0/3,Annelida,Polychaeta sedentaria,Polydora ciliata,20
4-10-17/C7-Sole-G0/3,Annelida,Polychaeta errantia,Nereididae,1
4-10-17/C7-Sole-G0/3,Mollusca,Bivalvia,Kurtiella bidentata,1
4-10-17/C7-Sole-G0/3,Annelida,Polychaeta errantia,Phyllodocidae,1
4-10-17/C7-Sole-G0/3,Arthropoda,Malacostraca,Arthropoda,1
4-10-17/C7-Sole-G0/4,Annelida,Polychaeta sedentaria,Polydora ciliata,51
4-10-17/C7-Sole-G0/4,Arthropoda,Malacostraca,Arthropoda,1
4-10-17/C7-Sole-G0/4,Mollusca,Bivalvia,Kurtiella bidentata,2
4-10-17/C7-Sole-G0/4,Annelida,Polychaeta errantia,Nereididae,1
4-10-17/C7-Sole-G0/5,Annelida,Polychaeta sedentaria,Polydora ciliata,14
4-10-17/C7-Sole-G0/5,Annelida,Polychaeta errantia,Nereididae,1
4-10-17/C7-Sole-G0/5,Arthropoda,Malacostraca,Arthropoda,1
4-10-17/C7-Sole-G0/6,Annelida,Polychaeta sedentaria,Polydora ciliata,13
4-10-17/C7-Sole-G0/6,Arthropoda,Malacostraca,Crangon crangon,1
4-10-17/C7-Sole-G0/7,Annelida,Polychaeta sedentaria,Polydora ciliata,30
4-10-17/C7-Sole-G0/7,Annelida,Polychaeta errantia,Nereididae,1
4-10-17/C7-Sole-G0/7,Arthropoda,Malacostraca,Corophium volutator,1
4-10-17/C7-Sole-G0/8,Annelida,Polychaeta sedentaria,Polydora ciliata,3
4-10-17/C7-Sole-G0/8,Annelida,Polychaeta errantia,Nereididae,1
09-17/AN1-Sole-G0/5,Annelida,Polychaeta errantia,Nephtys sp,1
09-17/AN1-Sole-G0/5,Arthropoda,Malacostraca,Arthropoda,1
10-17/AN1-Sole-G0/2,Arthropoda,Malacostraca,Diastylis bradyi,1
10-17/AN1-Sole-G0/2,Annelida,Polychaeta sedentaria,Ampharete lindstroemi,2
10-17/AN1-Sole-G0/2,Annelida,Polychaeta errantia,Nephtys sp,1
10-17/AN1-Sole-G0/2,Annelida,Polychaeta sedentaria,Owenia fusiformis,1
10-17/AN1-Sole-G0/2,Annelida,Polychaeta sedentaria,Lanice conchilega,2
10-17/AN1-Sole-G0/2,Annelida,Polychaeta sedentaria,Melinna palmata,2
10-17/AN1-Sole-G0/2,Annelida,Polychaeta sedentaria,Polydora ciliata,1
10-17/AN1-Sole-G0/2,Annelida,Polychaeta errantia,Phyllodocidae,1
10-17/AN1-Sole-G0/2,Arthropoda,Malacostraca,Crangon crangon,1
10-17/AN1-Sole-G0/2,Arthropoda,Malacostraca,Brachyura,1
09-17/AN2-Sole-G0/1,Arthropoda,Malacostraca,Crangonidae,1
09-17/AN2-Sole-G0/1,Annelida,Polychaeta errantia,Aphroditiformia,1
09-17/AN2-Sole-G0/1,Annelida,Polychaeta sedentaria,Ampharetidae,1
09-17/AN2-Sole-G0/1,Annelida,Polychaeta sedentaria,Spionidae,1
09-17/AN2-Sole-G0/3,Annelida,Polychaeta errantia,Nephtys sp,1
10-17/AN2-Sole-G0/1,Arthropoda,Malacostraca,Diastylis bradyi,16
10-17/AN2-Sole-G0/1,Annelida,Polychaeta errantia,Nephtys sp,1
10-17/AN2-Sole-G0/1,Annelida,Polychaeta errantia,Phyllodocidae,1
10-17/AN2-Sole-G0/1,Arthropoda,Ostracoda,Ostracoda,1
10-17/AN2-Sole-G0/1,Arthropoda,Malacostraca,Pariambus typicus,2
10-17/AN2-Sole-G0/1,Arthropoda,Malacostraca,Liocarcinus sp,1
10-17/AN2-Sole-G0/1,Mollusca,Bivalvia,Spisula subtruncata,2
10-17/AN2-Sole-G0/1,Annelida,Polychaeta sedentaria,Owenia fusiformis,1
10-17/AN2-Sole-G0/1,Annelida,Polychaeta errantia,Pholoe inornata,1
10-17/AN2-Sole-G0/1,Annelida,Polychaeta sedentaria,Melinna palmata,1
10-17/AN2-Sole-G0/2,Annelida,Polychaeta errantia,Phyllodocidae,1
10-17/AN2-Sole-G0/2,Arthropoda,Malacostraca,Crangon crangon,1
10-17/AN2-Sole-G0/2,Annelida,Polychaeta sedentaria,Owenia fusiformis,1
10-17/AN2-Sole-G0/2,Arthropoda,Ostracoda,Ostracoda,2
10-17/AN2-Sole-G0/2,Annelida,Polychaeta sedentaria,Lagis koreni,1
10-17/AN2-Sole-G0/2,Mollusca,Bivalvia,Bivalvia,14
10-17/AN2-Sole-G0/3,Mollusca,Bivalvia,Bivalvia,6
10-17/AN2-Sole-G0/3,Annelida,Polychaeta errantia,Nephtys sp,1
10-17/AN2-Sole-G0/3,Arthropoda,Malacostraca,Arthropoda,1
4-10-17/AN2-Sole-G0/4,Annelida,Polychaeta sedentaria,Melinna palmata,2
4-10-17/AN2-Sole-G0/4,Arthropoda,Hexanauplia,Copepoda,1
4-10-17/AN2-Sole-G0/4,Annelida,Polychaeta sedentaria,Polydora ciliata,1
10-17/AN3-Sole-G0/1,Annelida,Polychaeta errantia,Phyllodocidae,1
10-17/AN3-Sole-G0/1,Arthropoda,Malacostraca,Amphipoda,1
10-17/AN3-Sole-G0/1,Arthropoda,Malacostraca,Crangon crangon,3
10-17/AN3-Sole-G0/1,Arthropoda,Malacostraca,Photis longicaudata,1
10-17/AN3-Sole-G0/1,Annelida,Polychaeta sedentaria,Lagis koreni,1
10-17/AN3-Sole-G0/1,Arthropoda,Ostracoda,Ostracoda,1
09-17/AN4-Sole-G0/2,Annelida,Polychaeta sedentaria,Pseudopolydora pulchra,2
09-17/AN4-Sole-G0/2,Arthropoda,Malacostraca,Amphipoda,1
09-17/AN4-Sole-G0/2,Arthropoda,Malacostraca,Crangonidae,2
10-17/AS4-Sole-G0/1b,Arthropoda,Malacostraca,Diastylis bradyi,5
10-17/AS4-Sole-G0/1b,Arthropoda,Malacostraca,Pseudocuma (Pseudocuma) longicorne,1
10-17/AS4-Sole-G0/1b,Annelida,Polychaeta errantia,Nephtys sp,1
10-17/AS4-Sole-G0/1b,Arthropoda,Malacostraca,Photis longicaudata,1
10-17/AS4-Sole-G0/1b,Arthropoda,Malacostraca,Crangon crangon,1
10-17/AS4-Sole-G0/1b,Annelida,Polychaeta sedentaria,Spionidae,1
10-17/AS4-Sole-G0/1b,Mollusca,Bivalvia,Mya sp,1
10-17/AS4-Sole-G0/2a,Annelida,Polychaeta sedentaria,Owenia fusiformis,1
10-17/AS4-Sole-G0/2a,Annelida,Polychaeta errantia,Nephtys sp,1
10-17/AS4-Sole-G0/2a,Arthropoda,Malacostraca,Diastylis sp,6
10-17/AS4-Sole-G0/2a,Arthropoda,Malacostraca,Pseudocuma (Pseudocuma) longicorne,1
10-17/AS4-Sole-G0/2b,Annelida,Annelida sp.,Annelida sp.,1
10-17/AS4-Sole-G0/2b,Arthropoda,Malacostraca,Diastylis bradyi,8
10-17/AS4-Sole-G0/2b,Arthropoda,Malacostraca,Crangon crangon,1
10-17/AS4-Sole-G0/2b,Mollusca,Bivalvia,Bivalvia,1
10-17/AS4-Sole-G0/5,Arthropoda,Malacostraca,Diastylis bradyi,5
10-17/AS4-Sole-G0/5,Arthropoda,Ostracoda,Ostracoda,1
10-17/AS4-Sole-G0/5,Mollusca,Bivalvia,Mya sp,4
10-17/AS4-Sole-G0/5,Arthropoda,Malacostraca,Crangonidae,1
10-17/AS4-Sole-G0/5,Arthropoda,Malacostraca,Perioculodes longimanus,1
10-17/AS5-sole-G0/3,Arthropoda,Malacostraca,Arthropoda,2
